Date,Open*,High,Low,Close,Volume,Market Cap
"Nov 09, 2021",$4.37,$4.54,$4.24,$4.27,"$65,325,406","$1,231,718,887"
"Nov 08, 2021",$4.40,$4.49,$4.25,$4.37,"$68,798,138","$1,258,323,733"
"Nov 07, 2021",$4.25,$4.53,$4.15,$4.40,"$69,607,899","$1,262,886,446"
"Nov 06, 2021",$4.31,$4.41,$4.09,$4.25,"$49,982,883","$1,214,202,663"
"Nov 05, 2021",$4.28,$4.35,$4.24,$4.31,"$50,794,666","$1,228,396,640"
"Nov 04, 2021",$4.45,$4.53,$4.24,$4.28,"$65,801,728","$1,216,040,980"
"Nov 03, 2021",$4.53,$4.66,$4.36,$4.45,"$71,446,828","$1,259,937,459"
"Nov 02, 2021",$4.44,$4.55,$4.39,$4.53,"$61,051,928","$1,278,121,917"
"Nov 01, 2021",$4.45,$4.69,$4.34,$4.43,"$61,565,740","$1,245,933,883"
"Oct 31, 2021",$4.49,$4.49,$4.30,$4.45,"$60,079,196","$1,248,313,329"
"Oct 30, 2021",$4.64,$4.82,$4.33,$4.48,"$65,320,523","$1,251,919,677"
"Oct 29, 2021",$4.66,$4.86,$4.53,$4.64,"$67,726,092","$1,291,542,645"
"Oct 28, 2021",$4.40,$4.98,$4.33,$4.66,"$86,215,582","$1,294,018,650"
"Oct 27, 2021",$4.94,$4.95,$4.33,$4.40,"$121,469,553","$1,215,829,971"
"Oct 26, 2021",$4.84,$5.33,$4.80,$4.94,"$137,131,784","$1,361,333,009"
"Oct 25, 2021",$4.60,$4.90,$4.51,$4.84,"$114,027,575","$1,328,766,263"
"Oct 24, 2021",$4.21,$4.77,$4.16,$4.59,"$128,058,449","$1,257,798,120"
"Oct 23, 2021",$4.20,$4.29,$4.17,$4.20,"$35,025,641","$1,145,765,542"
"Oct 22, 2021",$4.19,$4.39,$4.14,$4.20,"$62,707,003","$1,142,191,249"
"Oct 21, 2021",$4.29,$4.46,$4.17,$4.19,"$69,821,403","$1,136,395,300"
"Oct 20, 2021",$4.02,$4.39,$4.00,$4.29,"$70,294,480","$1,158,613,284"
"Oct 19, 2021",$4.08,$4.13,$3.99,$4.02,"$42,376,447","$1,082,778,308"
"Oct 18, 2021",$4.10,$4.17,$3.99,$4.08,"$45,401,132","$1,092,506,798"
"Oct 17, 2021",$4.18,$4.25,$4.02,$4.09,"$40,550,692","$1,093,953,947"
"Oct 16, 2021",$4.21,$4.30,$4.11,$4.19,"$49,009,271","$1,114,652,236"
"Oct 15, 2021",$4.35,$4.38,$4.16,$4.20,"$67,076,532","$1,114,958,578"
